  PERMNO        date            mcd        vwretd        ewretd        sprtrn
   43449    19660831      -0.203390     -0.075388     -0.100714     -0.077751
   43449    19660930      -0.106383     -0.006958     -0.018161     -0.007004
   43449    19661031      -0.047619      0.042294     -0.014385      0.047544
   43449    19661130       0.018750      0.017516      0.040725      0.003117
   43449    19661230       0.386503      0.006210      0.017306     -0.001492
   43449    19670131       0.212389      0.085530      0.172104      0.078178
   43449    19670228       0.109489      0.010945      0.042368      0.001963
   43449    19670331       0.154211      0.043384      0.058244      0.039410
   43449    19670428       0.148256      0.041609      0.041928      0.042239
   43449    19670531      -0.010127     -0.039293     -0.008098     -0.052441
   43449    19670630       0.120205      0.026903      0.081958      0.017512
   43449    19670731       0.166667      0.049189      0.083251      0.045344
   43449    19670831      -0.076321     -0.006282      0.006312     -0.011715
   43449    19670929       0.110169      0.034286      0.062963      0.032785
   43449    19671031       0.122137     -0.027433     -0.020594     -0.029056
   43449    19671130       0.044218      0.007902      0.000878      0.001065
   43449    19671229       0.123778      0.033699      0.080465      0.026277
   43449    19680131      -0.095652     -0.036330      0.023902     -0.043848
   43449    19680229      -0.064103     -0.033624     -0.056118     -0.031223
   43449    19680329       0.113014      0.005116     -0.011218      0.009400
   43449    19680430       0.270769      0.094148      0.143031      0.081929
   43449    19680531       0.116223      0.027041      0.091309      0.011169
   43449    19680628      -0.056399      0.011527      0.016225      0.009120
   43449    19680730      -0.011494     -0.022024     -0.026210     -0.018478
   43449    19680830       0.004651      0.018038      0.035918      0.011459
   43449    19680930       0.115741      0.044454      0.068808      0.038539
   43449    19681031      -0.022822      0.009041      0.006913      0.007208
   43449    19681129       0.016985      0.058502      0.071994      0.047964
   43449    19681231       0.077244     -0.033873      0.005896     -0.041617
   43449    19690131      -0.044574     -0.006711     -0.001688     -0.008184
   43449    19690228      -0.099391     -0.053640     -0.085728     -0.047374
   43449    19690328       0.060811      0.030506      0.020290      0.034444
   43449    19690430       0.099788      0.020526      0.003459      0.021476
   43449    19690529       0.052124      0.005040      0.006262     -0.002218
   43449    19690630      -0.104587     -0.067387     -0.113404     -0.055577
   43449    19690731      -0.057377     -0.065172     -0.095823     -0.060178
   43449    19690829       0.169565      0.051490      0.052175      0.040074
   43449    19690930       0.033457     -0.022590     -0.024618     -0.025024
   43449    19691031       0.147482      0.055638      0.092413      0.044244
   43449    19691128       0.078370     -0.032164     -0.055078     -0.035274
   43449    19691231      -0.008721     -0.019681     -0.066178     -0.018655
   43449    19700130      -0.114370     -0.073254     -0.038830     -0.076472
   43449    19700227       0.195364      0.056706      0.040195      0.052693
   43449    19700331      -0.102493     -0.004729     -0.023712      0.001453
   43449    19700430      -0.098765     -0.105318     -0.161963     -0.090483
   43449    19700529      -0.109589     -0.064346     -0.090524     -0.060967
   43449    19700630       0.026923     -0.051075     -0.073904     -0.050033
   43449    19700731       0.086142      0.074169      0.059258      0.073295
   43449    19700831      -0.020690      0.050036      0.061617      0.044459
   43449    19700930       0.211268      0.047536      0.126098      0.032998
   43449    19701030      -0.008721     -0.018208     -0.058604     -0.011400
   43449    19701130       0.017595      0.050448      0.003021      0.047447
   43449    19701231       0.069164      0.060723      0.081324      0.056766
   43449    19710129       0.099730      0.052030      0.136096      0.040477
   43449    19710226       0.088235      0.016913      0.047910      0.009074
   43449    19710331       0.234234      0.044778      0.056603      0.036796
   43449    19710430       0.094891      0.033332      0.027087      0.036288
   43449    19710528       0.053333     -0.036409     -0.049435     -0.041558
   43449    19710630       0.134494      0.003119     -0.017240      0.000703
   43449    19710730      -0.096234     -0.040283     -0.053634     -0.041324
   43449    19710831       0.087963      0.042511      0.041159      0.036095
   43449    19710930       0.051064     -0.005016     -0.004653     -0.006968
   43449    19711029       0.008097     -0.040682     -0.057468     -0.041794
   43449    19711130       0.076305     -0.001262     -0.034150     -0.002547
   43449    19711231       0.130597      0.091257      0.117128      0.086179
   43449    19720131       0.089109      0.028383      0.103892      0.018121
   43449    19720229       0.093939      0.031349      0.041809      0.025303
   43449    19720330       0.072022      0.008722     -0.000951      0.005912
   43449    19720428       0.098191      0.005505      0.001231      0.004384
   43449    19720531       0.103529      0.016375     -0.018121      0.017275
   43449    19720630       0.010661     -0.020896     -0.033775     -0.021821
   43449    19720731      -0.025316     -0.004254     -0.029488      0.002333
   43449    19720831      -0.002165      0.035966      0.012252      0.034454
   43449    19720929      -0.023861     -0.007671     -0.030725     -0.004861
   43449    19721031       0.135556      0.008676     -0.013767      0.009317
   43449    19721130       0.031311      0.049764      0.051096      0.045617
   43449    19721229       0.157495      0.011243     -0.019873      0.011828
   43449    19730131      -0.054098     -0.027455     -0.026133     -0.017111
   43449    19730228      -0.110919     -0.044368     -0.072836     -0.037490
   43449    19730330       0.038986     -0.007851     -0.028981     -0.001433
   43449    19730430      -0.108818     -0.051759     -0.070620     -0.040800
   43449    19730531       0.069474     -0.024503     -0.083582     -0.018884
   43449    19730629      -0.100394     -0.008647     -0.037745     -0.006575
   43449    19730731       0.133479      0.056954      0.105922      0.037982
   43449    19730831       0.011583     -0.029648     -0.044417     -0.036685
   43449    19730928       0.072519      0.053937      0.072995      0.040096
   43449    19731031       0.000000     -0.000427      0.000303     -0.001291
   43449    19731130      -0.282918     -0.120703     -0.175252     -0.113861
   43449    19731231       0.131514      0.011425     -0.041764      0.016569
   43449    19740131      -0.048246      0.004408      0.132374     -0.010046
   43449    19740228      -0.048387      0.002352      0.008623     -0.003624
   43449    19740329       0.019370     -0.023365      0.008379     -0.023280
   43449    19740430       0.016627     -0.045957     -0.055537     -0.039051
   43449    19740531       0.018692     -0.041982     -0.072545     -0.033551
   43449    19740628      -0.121560     -0.022942     -0.033483     -0.014665
   43449    19740731      -0.206266     -0.070879     -0.051915     -0.077791
   43449    19740830      -0.078947     -0.087756     -0.085788     -0.090279
   43449    19740930      -0.296429     -0.109718     -0.079025     -0.119335
   43449    19741031       0.431472      0.165585      0.088877      0.163047
   43449    19741129      -0.039007     -0.041047     -0.051395     -0.053180
   43449    19741231      -0.132841     -0.027005     -0.080744     -0.020151
   43449    19750131       0.165957      0.141600      0.299260      0.122812
   43449    19750228       0.189781      0.058411      0.053918      0.059886
   43449    19750331       0.070552      0.030191      0.081497      0.021694
   43449    19750430       0.243553      0.046497      0.031093      0.047265
   43449    19750530      -0.004608      0.055140      0.072876      0.044101
   43449    19750630       0.055556      0.051473      0.071792      0.044323
   43449    19750731      -0.149123     -0.060385     -0.008960     -0.067654
   43449    19750829      -0.028351     -0.023557     -0.048118     -0.021070
   43449    19750930      -0.013263     -0.038010     -0.038867     -0.034645
   43449    19751031       0.131720      0.055857      0.014720      0.061643
   43449    19751128       0.102138      0.031223      0.016796      0.024708
   43449    19751231       0.006466     -0.010998     -0.000599     -0.011508
   43449    19760130       0.066381      0.126011      0.190037      0.118306
   43449    19760227       0.008032      0.007314      0.106291     -0.011402
   43449    19760331       0.019920      0.026799      0.018109      0.030689
   43449    19760430      -0.035156     -0.010389     -0.003810     -0.010995
   43449    19760528      -0.096761     -0.009369     -0.019680     -0.014364
   43449    19760630       0.049327      0.044487      0.026510      0.040926
   43449    19760730      -0.029487     -0.006157      0.002236     -0.008055
   43449    19760831      -0.039648     -0.001435     -0.016673     -0.005124
   43449    19760930       0.011468      0.024484      0.016990      0.022641
   43449    19761029      -0.035828     -0.020373     -0.022586     -0.022235
   43449    19761130       0.035294      0.005364      0.026686     -0.007775
   43449    19761231      -0.029545      0.061591      0.102410      0.052498
   43449    19770131      -0.142857     -0.036337      0.036903     -0.050530
   43449    19770228      -0.021311     -0.015760      0.004400     -0.021660
   43449    19770331      -0.111732     -0.009246      0.010654     -0.014025
   43449    19770429       0.003145      0.004952      0.016931      0.000203
   43449    19770531       0.010658     -0.010785      0.002870     -0.023568
   43449    19770630       0.142857      0.051367      0.051503      0.045360
   43449    19770729       0.020109     -0.012810      0.012362     -0.016222
